transaction_id,date,warehouse_id,region,sku,product_name,category,transaction_type,quantity,customer_id,reference,unit_cost_cad,total_value_cad
TXN-0000001,2025-08-20,WH-008,Quebec,SKU-1008,Coconut Water Organic,Beverages,Outbound,-914,C002,SO-53065,9.25,8454.50
TXN-0000002,2025-08-20,WH-011,West,SKU-1017,Laundry Detergent Pods,Household Cleaning,Outbound,-748,C008,SO-80912,18.50,13838.00
TXN-0000003,2025-08-20,WH-001,Atlantic,SKU-1019,Disinfecting Wipes,Household Cleaning,Inbound,1677,,PO-39817,11.25,18866.25
TXN-0000004,2025-08-20,WH-012,West,SKU-1002,Potato Chips - Sea Salt,Snacks & Confectionery,Outbound,-301,C002,SO-68153,3.75,1128.75
TXN-0000005,2025-08-20,WH-003,Atlantic,SKU-1022,Probiotics Daily,Health & Wellness,Inbound,618,,PO-16028,22.50,13905.00
TXN-0000006,2025-08-20,WH-006,Ontario,SKU-1001,Trail Mix - Canadian Blend,Snacks & Confectionery,Inbound,2035,,PO-66450,5.25,10683.75
TXN-0000007,2025-08-20,WH-003,Atlantic,SKU-1007,Energy Drink - Arctic Blast,Beverages,Outbound,-1259,C003,SO-32280,8.75,11016.25
TXN-0000008,2025-08-20,WH-003,Atlantic,SKU-1002,Potato Chips - Sea Salt,Snacks & Confectionery,Outbound,-883,C010,SO-99539,3.75,3311.25
TXN-0000009,2025-08-20,WH-004,Ontario,SKU-1015,Multi-Surface Cleaner,Household Cleaning,Transfer,218,,TR-93611,9.75,2125.50
TXN-0000010,2025-08-20,WH-005,Ontario,SKU-1014,Deodorant - Fresh Scent,Personal Care,Inbound,538,,PO-70981,10.25,5514.50
TXN-0000011,2025-08-20,WH-005,Ontario,SKU-1021,Protein Bars - Chocolate,Health & Wellness,Outbound,-251,C008,SO-55293,12.50,3137.50
TXN-0000012,2025-08-20,WH-010,West,SKU-1009,Cold Brew Coffee RTD,Beverages,Outbound,-968,C005,SO-69878,7.50,7260.00
TXN-0000013,2025-08-20,WH-005,Ontario,SKU-1006,Iced Tea - Peach,Beverages,Adjustment,11,,ADJ-23979,4.25,46.75
TXN-0000014,2025-08-20,WH-004,Ontario,SKU-1012,Shampoo - Moisturizing,Personal Care,Outbound,-1277,C005,SO-48696,15.75,20112.75
TXN-0000015,2025-08-20,WH-001,Atlantic,SKU-1021,Protein Bars - Chocolate,Health & Wellness,Outbound,-116,C010,SO-99889,12.50,1450.00
TXN-0000016,2025-08-20,WH-013,West,SKU-1023,Fiber Supplement Powder,Health & Wellness,Adjustment,27,,ADJ-75107,16.75,452.25
TXN-0000017,2025-08-20,WH-005,Ontario,SKU-1024,Multivitamin Adult,Health & Wellness,Outbound,-1343,C006,SO-38705,14.25,19137.75
TXN-0000018,2025-08-20,WH-011,West,SKU-1006,Iced Tea - Peach,Beverages,Outbound,-1488,C003,SO-92345,4.25,6324.00
TXN-0000019,2025-08-20,WH-002,Atlantic,SKU-1020,Vitamin C Gummies,Health & Wellness,Outbound,-732,C008,SO-14373,8.75,6405.00
TXN-0000020,2025-08-20,WH-010,West,SKU-1011,Body Lotion - Unscented,Personal Care,Outbound,-284,C005,SO-52823,12.50,3550.00
TXN-0000021,2025-08-20,WH-012,West,SKU-1013,Toothpaste - Whitening,Personal Care,Inbound,1041,,PO-80701,6.50,6766.50
TXN-0000022,2025-08-20,WH-006,Ontario,SKU-1016,Dish Soap - Citrus,Household Cleaning,Outbound,-658,C003,SO-43681,6.25,4112.50
TXN-0000023,2025-08-20,WH-008,Quebec,SKU-1009,Cold Brew Coffee RTD,Beverages,Outbound,-793,C002,SO-71385,7.50,5947.50
TXN-0000024,2025-08-20,WH-002,Atlantic,SKU-1004,Mixed Nuts Premium,Snacks & Confectionery,Outbound,-562,C007,SO-83048,6.80,3821.60
TXN-0000025,2025-08-20,WH-006,Ontario,SKU-1002,Potato Chips - Sea Salt,Snacks & Confectionery,Outbound,-128,C005,SO-80329,3.75,480.00
TXN-0000026,2025-08-20,WH-002,Atlantic,SKU-1014,Deodorant - Fresh Scent,Personal Care,Outbound,-1476,C005,SO-86619,10.25,15129.00
TXN-0000027,2025-08-20,WH-007,Quebec,SKU-1020,Vitamin C Gummies,Health & Wellness,Transfer,-445,,TR-71797,8.75,3893.75
TXN-0000028,2025-08-20,WH-001,Atlantic,SKU-1019,Disinfecting Wipes,Household Cleaning,Transfer,-213,,TR-94889,11.25,2396.25
TXN-0000029,2025-08-20,WH-002,Atlantic,SKU-1020,Vitamin C Gummies,Health & Wellness,Transfer,254,,TR-25292,8.75,2222.50
TXN-0000030,2025-08-20,WH-003,Atlantic,SKU-1001,Trail Mix - Canadian Blend,Snacks & Confectionery,Transfer,-345,,TR-22739,5.25,1811.25
TXN-0000031,2025-08-20,WH-004,Ontario,SKU-1017,Laundry Detergent Pods,Household Cleaning,Inbound,2358,,PO-58629,18.50,43623.00
TXN-0000032,2025-08-20,WH-011,West,SKU-1023,Fiber Supplement Powder,Health & Wellness,Outbound,-1206,C007,SO-86983,16.75,20200.50
TXN-0000033,2025-08-20,WH-012,West,SKU-1023,Fiber Supplement Powder,Health & Wellness,Inbound,2199,,PO-95841,16.75,36833.25
TXN-0000034,2025-08-20,WH-002,Atlantic,SKU-1015,Multi-Surface Cleaner,Household Cleaning,Outbound,-672,C001,SO-58566,9.75,6552.00
TXN-0000035,2025-08-20,WH-004,Ontario,SKU-1014,Deodorant - Fresh Scent,Personal Care,Outbound,-583,C006,SO-23022,10.25,5975.75
TXN-0000036,2025-08-20,WH-011,West,SKU-1011,Body Lotion - Unscented,Personal Care,Outbound,-1420,,SO-17936,12.50,17750.00
TXN-0000037,2025-08-20,WH-007,Quebec,SKU-1008,Coconut Water Organic,Beverages,Inbound,1000,,PO-69600,9.25,9250.00
TXN-0000038,2025-08-20,WH-002,Atlantic,SKU-1021,Protein Bars - Chocolate,Health & Wellness,Inbound,2945,,PO-12799,12.50,36812.50
TXN-0000039,2025-08-20,WH-001,Atlantic,SKU-1010,Hand Soap - Lavender,Personal Care,Inbound,1015,,PO-84000,8.25,8373.75
TXN-0000040,2025-08-20,WH-004,Ontario,SKU-1002,Potato Chips - Sea Salt,Snacks & Confectionery,Transfer,-217,,TR-40539,3.75,813.75
TXN-0000041,2025-08-20,WH-006,Ontario,SKU-1024,Multivitamin Adult,Health & Wellness,Inbound,2941,,PO-10371,14.25,41909.25
TXN-0000042,2025-08-20,WH-005,Ontario,SKU-1004,Mixed Nuts Premium,Snacks & Confectionery,Adjustment,19,,ADJ-42853,6.80,129.20
TXN-0000043,2025-08-20,WH-013,West,SKU-1005,Sparkling Water - Lemon,Beverages,Inbound,605,,PO-27275,5.50,3327.50
TXN-0000044,2025-08-20,WH-001,Atlantic,SKU-1011,Body Lotion - Unscented,Personal Care,Outbound,-587,C010,SO-52437,12.50,7337.50
TXN-0000045,2025-08-20,WH-001,Atlantic,SKU-1005,Sparkling Water - Lemon,Beverages,Inbound,1019,,PO-65176,5.50,5604.50
TXN-0000046,2025-08-20,WH-009,Quebec,SKU-1003,Chocolate Wafer Cookies,Snacks & Confectionery,Outbound,-1075,C008,SO-57453,4.20,4515.00
TXN-0000047,2025-08-20,WH-009,Quebec,SKU-1018,Glass Cleaner,Household Cleaning,Inbound,2563,,PO-39038,7.80,19991.40
TXN-0000048,2025-08-20,WH-010,West,SKU-1001,Trail Mix - Canadian Blend,Snacks & Confectionery,Outbound,-1449,C009,SO-49535,5.25,7607.25
TXN-0000049,2025-08-20,WH-008,Quebec,SKU-1020,Vitamin C Gummies,Health & Wellness,Adjustment,-43,,ADJ-72781,8.75,376.25
TXN-0000050,2025-08-20,WH-007,Quebec,SKU-1013,Toothpaste - Whitening,Personal Care,Outbound,-1104,C008,SO-19632,6.50,7176.00
TXN-0000051,2025-08-20,WH-002,Atlantic,SKU-1010,Hand Soap - Lavender,Personal Care,Outbound,-234,C003,SO-46046,8.25,1930.50
TXN-0000052,2025-08-20,WH-010,West,SKU-1020,Vitamin C Gummies,Health & Wellness,Outbound,-765,C007,SO-88301,8.75,6693.75
TXN-0000053,2025-08-20,WH-009,Quebec,SKU-1009,Cold Brew Coffee RTD,Beverages,Outbound,-1339,C007,SO-22999,7.50,10042.50
TXN-0000054,2025-08-20,WH-013,West,SKU-1022,Probiotics Daily,Health & Wellness,Inbound,2758,,PO-38183,22.50,62055.00
TXN-0000055,2025-08-20,WH-007,Quebec,SKU-1014,Deodorant - Fresh Scent,Personal Care,Transfer,273,,TR-62262,10.25,2798.25
TXN-0000056,2025-08-20,WH-007,Quebec,SKU-1023,Fiber Supplement Powder,Health & Wellness,Inbound,2248,,PO-50963,16.75,37654.00
TXN-0000057,2025-08-20,WH-011,West,SKU-1008,Coconut Water Organic,Beverages,Outbound,-412,C008,SO-18799,9.25,3811.00
TXN-0000058,2025-08-20,WH-002,Atlantic,SKU-1002,Potato Chips - Sea Salt,Snacks & Confectionery,Inbound,895,,PO-58843,3.75,3356.25
TXN-0000059,2025-08-20,WH-013,West,SKU-1004,Mixed Nuts Premium,Snacks & Confectionery,Outbound,-1301,C009,SO-83620,6.80,8846.80
TXN-0000060,2025-08-21,WH-011,West,SKU-1003,Chocolate Wafer Cookies,Snacks & Confectionery,Outbound,-1462,C007,SO-16743,4.20,6140.40
TXN-0000061,2025-08-21,WH-005,Ontario,SKU-1019,Disinfecting Wipes,Household Cleaning,Outbound,-312,C010,SO-76507,11.25,3510.00
TXN-0000062,2025-08-21,WH-004,Ontario,SKU-1004,Mixed Nuts Premium,Snacks & Confectionery,Outbound,-559,C002,SO-55890,6.80,3801.20
TXN-0000063,2025-08-21,WH-009,Quebec,SKU-1011,Body Lotion - Unscented,Personal Care,Inbound,1641,,PO-85248,12.50,20512.50
TXN-0000064,2025-08-21,WH-004,Ontario,SKU-1013,Toothpaste - Whitening,Personal Care,Transfer,-108,,TR-89822,6.50,702.00
TXN-0000065,2025-08-21,WH-011,West,SKU-1022,Probiotics Daily,Health & Wellness,Inbound,1238,,PO-45818,22.50,27855.00
TXN-0000066,2025-08-21,WH-012,West,SKU-1024,Multivitamin Adult,Health & Wellness,Outbound,-795,,SO-10800,14.25,11328.75
TXN-0000067,2025-08-21,WH-003,Atlantic,SKU-1004,Mixed Nuts Premium,Snacks & Confectionery,Outbound,-920,C002,SO-28595,6.80,6256.00
TXN-0000068,2025-08-21,WH-012,West,SKU-1020,Vitamin C Gummies,Health & Wellness,Adjustment,-39,,ADJ-79531,8.75,341.25
TXN-0000069,2025-08-21,WH-004,Ontario,SKU-1012,Shampoo - Moisturizing,Personal Care,Outbound,-798,C003,SO-58503,15.75,12568.50
TXN-0000070,2025-08-21,WH-005,Ontario,SKU-1023,Fiber Supplement Powder,Health & Wellness,Outbound,-1262,C010,SO-21135,16.75,21138.50
TXN-0000071,2025-08-21,WH-001,Atlantic,SKU-1004,Mixed Nuts Premium,Snacks & Confectionery,Inbound,703,,PO-98338,6.80,4780.40
TXN-0000072,2025-08-21,WH-002,Atlantic,SKU-1008,Coconut Water Organic,Beverages,Outbound,-968,C008,SO-89570,9.25,8954.00
TXN-0000073,2025-08-21,WH-008,Quebec,SKU-1013,Toothpaste - Whitening,Personal Care,Inbound,2598,,PO-24918,6.50,16887.00
TXN-0000074,2025-08-21,WH-006,Ontario,SKU-1013,Toothpaste - Whitening,Personal Care,Inbound,2929,,PO-73783,6.50,19038.50
TXN-0000075,2025-08-21,WH-009,Quebec,SKU-1021,Protein Bars - Chocolate,Health & Wellness,Outbound,-551,C007,SO-88554,12.50,6887.50
TXN-0000076,2025-08-21,WH-001,Atlantic,SKU-1000,Maple Crunch Granola Bars,Snacks & Confectionery,Inbound,1365,,PO-27987,4.50,6142.50
TXN-0000077,2025-08-21,WH-013,West,SKU-1008,Coconut Water Organic,Beverages,Inbound,991,,PO-11013,9.25,9166.75
TXN-0000078,2025-08-21,WH-008,Quebec,SKU-1023,Fiber Supplement Powder,Health & Wellness,Outbound,-364,C007,SO-79806,16.75,6097.00
TXN-0000079,2025-08-21,WH-012,West,SKU-1007,Energy Drink - Arctic Blast,Beverages,Outbound,-1468,,SO-19447,8.75,12845.00
TXN-0000080,2025-08-21,WH-007,Quebec,SKU-1023,Fiber Supplement Powder,Health & Wellness,Inbound,576,,PO-70260,16.75,9648.00
TXN-0000081,2025-08-21,WH-002,Atlantic,SKU-1010,Hand Soap - Lavender,Personal Care,Outbound,-1274,C007,SO-93904,8.25,10510.50
TXN-0000082,2025-08-21,WH-007,Quebec,SKU-1009,Cold Brew Coffee RTD,Beverages,Inbound,585,,PO-52568,7.50,4387.50
TXN-0000083,2025-08-21,WH-003,Atlantic,SKU-1019,Disinfecting Wipes,Household Cleaning,Outbound,-841,C002,SO-67240,11.25,9461.25
TXN-0000084,2025-08-21,WH-002,Atlantic,SKU-1007,Energy Drink - Arctic Blast,Beverages,Outbound,-920,C009,SO-20308,8.75,8050.00
TXN-0000085,2025-08-21,WH-007,Quebec,SKU-1009,Cold Brew Coffee RTD,Beverages,Outbound,-553,,SO-32037,7.50,4147.50
TXN-0000086,2025-08-21,WH-002,Atlantic,SKU-1016,Dish Soap - Citrus,Household Cleaning,Outbound,-1186,C009,SO-35415,6.25,7412.50
TXN-0000087,2025-08-21,WH-013,West,SKU-1011,Body Lotion - Unscented,Personal Care,Outbound,-1421,C003,SO-40968,12.50,17762.50
TXN-0000088,2025-08-21,WH-002,Atlantic,SKU-1004,Mixed Nuts Premium,Snacks & Confectionery,Inbound,1210,,PO-88957,6.80,8228.00
TXN-0000089,2025-08-21,WH-003,Atlantic,SKU-1024,Multivitamin Adult,Health & Wellness,Outbound,-254,C003,SO-92306,14.25,3619.50
TXN-0000090,2025-08-21,WH-008,Quebec,SKU-1014,Deodorant - Fresh Scent,Personal Care,Outbound,-1286,C008,SO-99277,10.25,13181.50
TXN-0000091,2025-08-21,WH-010,West,SKU-1020,Vitamin C Gummies,Health & Wellness,Outbound,-1379,,SO-92210,8.75,12066.25
TXN-0000092,2025-08-21,WH-006,Ontario,SKU-1004,Mixed Nuts Premium,Snacks & Confectionery,Outbound,-1060,C008,SO-92756,6.80,7208.00
TXN-0000093,2025-08-21,WH-005,Ontario,SKU-1008,Coconut Water Organic,Beverages,Outbound,-820,C009,SO-19724,9.25,7585.00
TXN-0000094,2025-08-21,WH-005,Ontario,SKU-1014,Deodorant - Fresh Scent,Personal Care,Outbound,-216,C006,SO-47627,10.25,2214.00
TXN-0000095,2025-08-21,WH-002,Atlantic,SKU-1020,Vitamin C Gummies,Health & Wellness,Transfer,414,,TR-70648,8.75,3622.50
TXN-0000096,2025-08-21,WH-010,West,SKU-1017,Laundry Detergent Pods,Household Cleaning,Adjustment,44,,ADJ-15376,18.50,814.00
TXN-0000097,2025-08-21,WH-008,Quebec,SKU-1018,Glass Cleaner,Household Cleaning,Outbound,-758,C010,SO-72341,7.80,5912.40
