week_ending,warehouse_id,region,orders_received,orders_fulfilled,order_fill_rate_pct,on_time_delivery_pct,avg_lead_time_days,stockout_incidents,inventory_accuracy_pct,putaway_time_hours,picking_accuracy_pct,dock_to_stock_hours
2025-08-20,WH-001,Atlantic,654,587,99.12,95.02,4.3,4,96.33,5.8,98.25,22.7
2025-08-20,WH-002,Atlantic,797,299,98.08,93.65,3.1,0,96.62,3.6,99.51,12.6
2025-08-20,WH-003,Atlantic,420,631,93.8,90.25,2.4,0,96.26,7.8,98.52,9.3
2025-08-20,WH-004,Ontario,693,303,94.15,89.7,4.3,5,98.19,4.5,97.19,18.8
2025-08-20,WH-005,Ontario,374,211,94.15,91.44,3.1,2,97.8,4.9,99.29,8.6
2025-08-20,WH-006,Ontario,531,526,94.58,89.09,4.3,3,99.4,4.7,99.72,7.9
2025-08-20,WH-007,Quebec,724,722,96.89,95.01,2.6,1,97.58,3.4,98.85,4.4
2025-08-20,WH-008,Quebec,474,411,96.09,93.82,3.4,0,96.49,5.3,98.06,14.1
2025-08-20,WH-009,Quebec,582,639,99.47,88.94,1.5,4,99.78,7.3,99.3,9.3
2025-08-20,WH-010,West,238,307,92.51,94.15,2.5,3,99.15,3.1,98.53,7.4
2025-08-20,WH-011,West,586,216,92.49,89.85,4.7,4,97.78,6.6,98.26,8.0
2025-08-20,WH-012,West,295,684,93.96,89.76,1.8,3,99.55,6.6,98.71,8.0
2025-08-20,WH-013,West,547,201,97.58,88.06,3.8,0,99.03,5.9,99.28,8.6
2025-08-27,WH-001,Atlantic,611,474,96.26,93.89,3.2,2,98.26,6.4,97.57,17.8
2025-08-27,WH-002,Atlantic,408,417,95.05,95.29,4.7,3,98.53,7.3,97.47,13.7
2025-08-27,WH-003,Atlantic,771,268,97.22,93.03,2.8,1,98.57,3.1,99.0,14.7
2025-08-27,WH-004,Ontario,404,560,92.26,89.57,3.2,3,96.2,3.4,98.46,5.5
2025-08-27,WH-005,Ontario,665,597,97.44,94.83,1.5,4,97.92,5.6,97.04,7.2
2025-08-27,WH-006,Ontario,743,712,98.85,94.17,1.7,2,98.71,3.5,97.26,13.6
2025-08-27,WH-007,Quebec,449,605,92.56,92.78,3.6,1,98.35,5.2,99.63,15.3
2025-08-27,WH-008,Quebec,769,354,99.06,96.96,4.9,1,99.07,5.9,98.5,9.5
2025-08-27,WH-009,Quebec,524,433,96.29,90.25,4.4,3,98.3,6.4,97.7,23.3
2025-08-27,WH-010,West,507,674,93.31,91.95,3.0,5,96.33,4.6,99.58,20.6
2025-08-27,WH-011,West,253,585,97.86,89.43,3.2,0,96.25,5.5,98.12,4.7
2025-08-27,WH-012,West,279,327,92.63,94.33,3.5,0,97.0,4.6,99.88,21.7
2025-08-27,WH-013,West,406,586,93.19,96.88,1.9,4,97.74,5.0,98.17,8.3
2025-09-03,WH-001,Atlantic,769,605,95.37,93.82,4.0,3,99.61,6.8,97.38,13.0
2025-09-03,WH-002,Atlantic,625,389,99.27,88.23,3.6,5,98.68,5.8,99.05,12.2
2025-09-03,WH-003,Atlantic,636,546,96.27,93.24,4.2,2,96.29,4.5,98.59,16.9
2025-09-03,WH-004,Ontario,449,448,99.19,91.74,3.2,2,97.62,2.5,99.5,9.4
2025-09-03,WH-005,Ontario,693,662,93.66,92.34,4.6,2,98.2,6.1,97.8,10.8
2025-09-03,WH-006,Ontario,725,371,93.75,88.66,3.0,2,98.11,5.4,97.48,19.2
2025-09-03,WH-007,Quebec,488,328,98.65,91.4,2.4,2,96.02,4.1,99.46,13.9
2025-09-03,WH-008,Quebec,690,674,92.47,89.08,2.1,2,99.08,5.5,98.59,5.4
2025-09-03,WH-009,Quebec,203,416,94.98,88.98,3.0,3,96.81,3.0,97.85,8.5
2025-09-03,WH-010,West,231,500,97.94,96.94,2.2,2,96.35,2.9,98.77,20.4
2025-09-03,WH-011,West,584,520,99.03,92.61,2.6,0,96.06,4.5,99.47,16.3
2025-09-03,WH-012,West,203,681,96.45,96.26,4.5,5,97.96,5.7,97.6,5.6
2025-09-03,WH-013,West,370,633,92.96,90.74,4.3,4,97.13,4.2,97.12,21.7
2025-09-10,WH-001,Atlantic,573,500,95.03,92.03,3.2,4,97.47,5.8,98.61,23.5
2025-09-10,WH-002,Atlantic,203,533,97.14,94.0,2.9,2,99.86,4.9,98.52,16.5
2025-09-10,WH-003,Atlantic,252,778,99.17,90.55,2.9,0,98.91,7.6,99.4,12.2
2025-09-10,WH-004,Ontario,268,547,99.3,94.07,2.2,0,97.72,4.4,99.33,7.3
2025-09-10,WH-005,Ontario,674,275,94.19,91.37,3.3,2,96.83,6.6,99.6,20.3
2025-09-10,WH-006,Ontario,536,658,98.5,96.78,2.7,2,97.03,6.7,98.12,7.8
2025-09-10,WH-007,Quebec,221,568,97.81,89.63,2.2,4,98.13,6.9,97.9,18.1
2025-09-10,WH-008,Quebec,586,248,99.14,93.3,3.4,5,99.17,2.7,98.35,10.4
2025-09-10,WH-009,Quebec,496,211,96.17,90.6,2.2,1,99.66,5.2,97.75,6.1
2025-09-10,WH-010,West,777,437,98.01,91.51,4.5,4,96.22,3.0,98.9,21.9
2025-09-10,WH-011,West,498,468,93.56,88.2,2.3,0,98.68,2.5,97.57,23.9
2025-09-10,WH-012,West,650,224,97.35,90.97,4.7,3,96.72,4.4,99.27,21.1
2025-09-10,WH-013,West,455,248,96.18,89.18,2.8,1,99.67,4.1,99.5,23.5
2025-09-17,WH-001,Atlantic,579,296,95.32,88.66,4.9,0,97.11,3.4,98.41,13.7
2025-09-17,WH-002,Atlantic,569,752,94.85,92.38,3.8,5,96.79,2.8,99.76,9.4
2025-09-17,WH-003,Atlantic,679,271,96.51,92.31,3.6,3,97.22,6.7,98.69,6.4
2025-09-17,WH-004,Ontario,513,504,92.99,95.54,2.4,0,99.6,5.2,98.81,17.8
2025-09-17,WH-005,Ontario,741,336,98.77,89.83,2.8,4,97.74,5.4,99.77,8.7
2025-09-17,WH-006,Ontario,759,695,94.91,92.38,3.0,4,98.36,5.5,98.75,4.2
2025-09-17,WH-007,Quebec,437,760,97.75,92.66,4.7,2,96.48,6.2,97.94,4.8
2025-09-17,WH-008,Quebec,254,475,97.44,93.61,4.3,2,97.82,3.1,97.15,6.8
2025-09-17,WH-009,Quebec,354,651,94.25,91.09,3.5,0,96.24,4.0,98.33,17.0
2025-09-17,WH-010,West,256,641,96.12,90.5,2.6,0,99.4,3.5,97.36,9.1
2025-09-17,WH-011,West,759,364,97.98,90.15,4.9,0,96.89,4.5,99.75,16.2
2025-09-17,WH-012,West,773,539,92.86,96.14,3.4,3,97.79,7.3,98.36,4.6
2025-09-17,WH-013,West,420,352,93.44,93.89,4.9,3,99.78,4.7,98.77,23.9
2025-09-24,WH-001,Atlantic,511,599,99.44,94.22,4.4,0,98.98,4.9,98.4,14.4
2025-09-24,WH-002,Atlantic,650,690,93.36,91.66,2.9,3,99.52,6.8,99.22,11.8
2025-09-24,WH-003,Atlantic,210,393,97.93,89.07,2.0,3,96.51,6.1,98.78,12.4
2025-09-24,WH-004,Ontario,606,530,92.2,90.28,4.3,2,98.21,4.7,99.26,8.5
2025-09-24,WH-005,Ontario,454,435,94.23,96.67,4.9,5,97.31,2.6,97.32,13.3
2025-09-24,WH-006,Ontario,232,259,93.28,96.15,4.0,4,98.4,7.4,99.66,7.3
2025-09-24,WH-007,Quebec,366,201,92.07,88.21,2.7,3,97.25,3.7,98.03,14.5
