warehouse_id,region,sku,product_name,category,current_stock_units,safety_stock_units,reorder_point_units,max_stock_units,inventory_value_cad,days_of_supply,status,last_updated
WH-001,Atlantic,SKU-1004,Mixed Nuts Premium,Snacks & Confectionery,725,218,327,2182,4930.00,19.1,Normal,2025-11-18
WH-001,Atlantic,SKU-1021,Protein Bars - Chocolate,Health & Wellness,816,124,187,1248,10200.00,68.0,Normal,2025-11-18
WH-001,Atlantic,SKU-1015,Multi-Surface Cleaner,Household Cleaning,4753,983,1475,9838,46341.75,55.9,Normal,2025-11-18
WH-001,Atlantic,SKU-1017,Laundry Detergent Pods,Household Cleaning,409,380,571,3808,7566.50,21.5,Low,2025-11-18
WH-001,Atlantic,SKU-1005,Sparkling Water - Lemon,Beverages,584,116,174,1164,3212.00,32.4,Normal,2025-11-18
WH-001,Atlantic,SKU-1008,Coconut Water Organic,Beverages,409,71,107,714,3783.25,21.5,Normal,2025-11-18
WH-001,Atlantic,SKU-1016,Dish Soap - Citrus,Household Cleaning,2811,862,1293,8622,17568.75,62.5,Normal,2025-11-18
WH-001,Atlantic,SKU-1013,Toothpaste - Whitening,Personal Care,2570,815,1222,8152,16705.00,32.5,Normal,2025-11-18
WH-001,Atlantic,SKU-1006,Iced Tea - Peach,Beverages,2172,236,354,2366,9231.00,53.0,Overstock,2025-11-18
WH-001,Atlantic,SKU-1018,Glass Cleaner,Household Cleaning,7409,794,1192,7948,57790.20,119.5,Overstock,2025-11-18
WH-001,Atlantic,SKU-1011,Body Lotion - Unscented,Personal Care,717,331,497,3318,8962.50,32.6,Normal,2025-11-18
WH-001,Atlantic,SKU-1024,Multivitamin Adult,Health & Wellness,3628,726,1089,7262,51699.00,56.7,Normal,2025-11-18
WH-001,Atlantic,SKU-1022,Probiotics Daily,Health & Wellness,4518,693,1040,6934,101655.00,282.4,Normal,2025-11-18
WH-001,Atlantic,SKU-1010,Hand Soap - Lavender,Personal Care,305,181,271,1812,2516.25,5.0,Normal,2025-11-18
WH-001,Atlantic,SKU-1014,Deodorant - Fresh Scent,Personal Care,1470,575,863,5758,15067.50,35.9,Normal,2025-11-18
WH-001,Atlantic,SKU-1020,Vitamin C Gummies,Health & Wellness,1112,333,500,3338,9730.00,14.3,Normal,2025-11-18
WH-001,Atlantic,SKU-1007,Energy Drink - Arctic Blast,Beverages,1903,755,1132,7550,16651.25,29.7,Normal,2025-11-18
WH-001,Atlantic,SKU-1019,Disinfecting Wipes,Household Cleaning,1460,320,480,3206,16425.00,21.2,Normal,2025-11-18
WH-002,Atlantic,SKU-1002,Potato Chips - Sea Salt,Snacks & Confectionery,1841,289,434,2896,6903.75,184.1,Normal,2025-11-18
WH-002,Atlantic,SKU-1014,Deodorant - Fresh Scent,Personal Care,2831,659,989,6596,29017.75,41.6,Normal,2025-11-18
WH-002,Atlantic,SKU-1017,Laundry Detergent Pods,Household Cleaning,3952,487,730,4872,73112.00,39.9,Overstock,2025-11-18
WH-002,Atlantic,SKU-1003,Chocolate Wafer Cookies,Snacks & Confectionery,8903,930,1395,9304,37392.60,307.0,Overstock,2025-11-18
WH-002,Atlantic,SKU-1001,Trail Mix - Canadian Blend,Snacks & Confectionery,1546,331,496,3310,8116.50,41.8,Normal,2025-11-18
WH-002,Atlantic,SKU-1022,Probiotics Daily,Health & Wellness,239,115,173,1158,5377.50,4.8,Normal,2025-11-18
WH-002,Atlantic,SKU-1000,Maple Crunch Granola Bars,Snacks & Confectionery,215,113,170,1136,967.50,2.6,Normal,2025-11-18
WH-002,Atlantic,SKU-1024,Multivitamin Adult,Health & Wellness,4920,801,1201,8010,70110.00,63.9,Normal,2025-11-18
WH-002,Atlantic,SKU-1007,Energy Drink - Arctic Blast,Beverages,509,277,416,2778,4453.75,6.8,Normal,2025-11-18
WH-002,Atlantic,SKU-1005,Sparkling Water - Lemon,Beverages,531,151,226,1512,2920.50,29.5,Normal,2025-11-18
WH-002,Atlantic,SKU-1006,Iced Tea - Peach,Beverages,2107,994,1492,9948,8954.75,21.9,Normal,2025-11-18
WH-002,Atlantic,SKU-1016,Dish Soap - Citrus,Household Cleaning,2058,405,607,4052,12862.50,82.3,Normal,2025-11-18
WH-002,Atlantic,SKU-1013,Toothpaste - Whitening,Personal Care,4986,953,1429,9532,32409.00,59.4,Normal,2025-11-18
WH-002,Atlantic,SKU-1021,Protein Bars - Chocolate,Health & Wellness,1645,994,1491,9940,20562.50,18.5,Normal,2025-11-18
WH-002,Atlantic,SKU-1023,Fiber Supplement Powder,Health & Wellness,1012,154,231,1542,16951.00,10.8,Normal,2025-11-18
WH-002,Atlantic,SKU-1018,Glass Cleaner,Household Cleaning,9541,976,1464,9762,74419.80,190.8,Overstock,2025-11-18
WH-003,Atlantic,SKU-1006,Iced Tea - Peach,Beverages,2441,369,553,3692,10374.25,56.8,Normal,2025-11-18
WH-003,Atlantic,SKU-1021,Protein Bars - Chocolate,Health & Wellness,1666,237,355,2370,20825.00,92.6,Normal,2025-11-18
WH-003,Atlantic,SKU-1022,Probiotics Daily,Health & Wellness,1933,420,630,4202,43492.50,42.0,Normal,2025-11-18
WH-003,Atlantic,SKU-1010,Hand Soap - Lavender,Personal Care,2072,278,417,2784,17094.00,26.2,Normal,2025-11-18
WH-003,Atlantic,SKU-1007,Energy Drink - Arctic Blast,Beverages,4848,515,773,5156,42420.00,440.7,Overstock,2025-11-18
WH-003,Atlantic,SKU-1008,Coconut Water Organic,Beverages,5833,928,1392,9286,53955.25,62.1,Normal,2025-11-18
WH-003,Atlantic,SKU-1012,Shampoo - Moisturizing,Personal Care,464,189,284,1896,7308.00,10.8,Normal,2025-11-18
WH-003,Atlantic,SKU-1004,Mixed Nuts Premium,Snacks & Confectionery,2031,209,313,2090,13810.80,88.3,Overstock,2025-11-18
WH-003,Atlantic,SKU-1009,Cold Brew Coffee RTD,Beverages,3472,926,1389,9264,26040.00,78.9,Normal,2025-11-18
WH-003,Atlantic,SKU-1014,Deodorant - Fresh Scent,Personal Care,2206,481,722,4816,22611.50,41.6,Normal,2025-11-18
WH-003,Atlantic,SKU-1005,Sparkling Water - Lemon,Beverages,3168,353,530,3534,17424.00,34.8,Overstock,2025-11-18
WH-003,Atlantic,SKU-1018,Glass Cleaner,Household Cleaning,2522,452,678,4524,19671.60,35.0,Normal,2025-11-18
WH-003,Atlantic,SKU-1001,Trail Mix - Canadian Blend,Snacks & Confectionery,4139,431,647,4314,21729.75,258.7,Overstock,2025-11-18
WH-003,Atlantic,SKU-1000,Maple Crunch Granola Bars,Snacks & Confectionery,1470,171,256,1712,6615.00,23.0,Overstock,2025-11-18
WH-003,Atlantic,SKU-1020,Vitamin C Gummies,Health & Wellness,834,473,709,4732,7297.50,83.4,Normal,2025-11-18
WH-003,Atlantic,SKU-1016,Dish Soap - Citrus,Household Cleaning,1637,566,849,5664,10231.25,18.0,Normal,2025-11-18
WH-003,Atlantic,SKU-1013,Toothpaste - Whitening,Personal Care,1110,449,673,4490,7215.00,16.8,Normal,2025-11-18
WH-003,Atlantic,SKU-1019,Disinfecting Wipes,Household Cleaning,7930,923,1385,9238,89212.50,97.9,Overstock,2025-11-18
WH-003,Atlantic,SKU-1017,Laundry Detergent Pods,Household Cleaning,92,35,53,358,1702.00,4.8,Normal,2025-11-18
WH-004,Ontario,SKU-1022,Probiotics Daily,Health & Wellness,7595,937,1405,9372,170887.50,85.3,Overstock,2025-11-18
WH-004,Ontario,SKU-1004,Mixed Nuts Premium,Snacks & Confectionery,1242,273,409,2732,8445.60,41.4,Normal,2025-11-18
WH-004,Ontario,SKU-1017,Laundry Detergent Pods,Household Cleaning,1998,310,465,3100,36963.00,153.7,Normal,2025-11-18
WH-004,Ontario,SKU-1001,Trail Mix - Canadian Blend,Snacks & Confectionery,1673,313,470,3138,8783.25,27.0,Normal,2025-11-18
WH-004,Ontario,SKU-1011,Body Lotion - Unscented,Personal Care,1518,426,639,4264,18975.00,50.6,Normal,2025-11-18
WH-004,Ontario,SKU-1018,Glass Cleaner,Household Cleaning,980,197,295,1970,7644.00,70.0,Normal,2025-11-18
WH-004,Ontario,SKU-1024,Multivitamin Adult,Health & Wellness,2613,791,1186,7910,37235.25,74.7,Normal,2025-11-18
WH-004,Ontario,SKU-1023,Fiber Supplement Powder,Health & Wellness,3638,774,1161,7740,60936.50,74.2,Normal,2025-11-18
WH-004,Ontario,SKU-1013,Toothpaste - Whitening,Personal Care,1305,392,589,3928,8482.50,100.4,Normal,2025-11-18
WH-004,Ontario,SKU-1019,Disinfecting Wipes,Household Cleaning,1968,336,504,3364,22140.00,37.8,Normal,2025-11-18
WH-004,Ontario,SKU-1000,Maple Crunch Granola Bars,Snacks & Confectionery,1044,476,714,4764,4698.00,23.2,Normal,2025-11-18
WH-004,Ontario,SKU-1015,Multi-Surface Cleaner,Household Cleaning,5850,595,892,5952,57037.50,78.0,Overstock,2025-11-18
